GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMD Apex,net.sourceforge.pmd.lang.apex.rule,ApexXPathRule,11,0,0,0,4,0,2,0,2,0
PMD Apex,net.sourceforge.pmd.lang.apex.rule,AbstractApexRule,204,268,0,8,41,59,41,48,41,44
PMD Apex,net.sourceforge.pmd.lang.apex.rule,ApexRuleChainVisitor,6,54,1,7,1,15,1,6,0,3
PMD Apex,net.sourceforge.pmd.lang.apex.rule,ApexRuleViolationFactory,2,17,0,0,1,4,1,3,1,3
PMD Apex,net.sourceforge.pmd.lang.apex.rule,AbstractStatisticalApexRule,0,25,0,0,0,8,0,4,0,4
PMD Apex,net.sourceforge.pmd.lang.apex.rule.style,AvoidLogicInTriggerRule,0,35,0,2,0,9,0,3,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.rule.style,AvoidGlobalModifierRule,0,52,2,2,0,11,2,4,0,4
PMD Apex,net.sourceforge.pmd.lang.apex.rule.style,MethodWithSameNameAsEnclosingClassRule,0,62,0,6,0,13,0,5,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.rule.style,MethodNamingConventionsRule,0,87,0,12,0,17,0,12,0,6
PMD Apex,net.sourceforge.pmd.lang.apex.rule.style,VariableNamingConventionsRule,41,499,14,32,9,84,12,25,2,12
PMD Apex,net.sourceforge.pmd.lang.apex.rule.style,ClassNamingConventionsRule,12,34,2,2,3,8,2,3,1,2
PMD Apex,net.sourceforge.pmd.lang.apex,ApexHandler.new AbstractASTXPathHandler() {...},1,7,0,0,1,2,1,2,1,2
PMD Apex,net.sourceforge.pmd.lang.apex,ApexHandler.new VisitorStarter() {...},28,0,0,0,3,0,2,0,2,0
PMD Apex,net.sourceforge.pmd.lang.apex,ApexParserOptions,49,3,6,0,12,1,5,1,2,1
PMD Apex,net.sourceforge.pmd.lang.apex,ApexHandler,8,19,0,0,1,5,1,5,1,5
PMD Apex,net.sourceforge.pmd.lang.apex,ApexParser,4,20,0,0,2,5,2,3,2,3
PMD Apex,net.sourceforge.pmd.lang.apex,ApexLanguageModule,0,27,0,0,0,4,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.rule.complexity,ExcessiveLengthRule,0,40,0,2,0,10,0,3,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.rule.complexity,ExcessiveClassLengthRule,0,43,0,2,0,9,0,3,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.rule.complexity,NcssTypeCountRule,31,64,3,3,6,12,5,5,3,4
PMD Apex,net.sourceforge.pmd.lang.apex.rule.complexity,ExcessiveParameterListRule,0,30,0,0,0,7,0,2,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.rule.complexity,NcssMethodCountRule,0,61,0,2,0,11,0,4,0,3
PMD Apex,net.sourceforge.pmd.lang.apex.rule.complexity,AbstractNcssCountRule,67,115,0,6,15,26,12,7,12,4
PMD Apex,net.sourceforge.pmd.lang.apex.rule.complexity,ExcessivePublicCountRule,2,60,2,6,1,11,2,5,0,3
PMD Apex,net.sourceforge.pmd.lang.apex.rule.complexity,StdCyclomaticComplexityRule.Entry,2,36,1,1,0,8,1,4,0,4
PMD Apex,net.sourceforge.pmd.lang.apex.rule.complexity,StdCyclomaticComplexityRule,121,367,13,13,19,65,14,14,5,10
PMD Apex,net.sourceforge.pmd.lang.apex.rule.complexity,AvoidDeeplyNestedIfStmtsRule,0,82,0,2,0,17,0,5,0,4
PMD Apex,net.sourceforge.pmd.lang.apex.rule.complexity,NcssConstructorCountRule,0,51,0,2,0,10,0,4,0,3
PMD Apex,net.sourceforge.pmd.lang.apex.rule.complexity,ExcessiveNodeCountRule,0,58,0,4,0,14,0,4,0,2
PMD Apex,net.sourceforge.pmd.lang.apex.rule.complexity,TooManyFieldsRule,0,170,1,11,0,33,1,9,0,4
PMD Apex,net.sourceforge.pmd.lang.apex.rule.performance,AvoidSoqlInLoopsRule,2,79,2,18,1,15,2,13,0,5
PMD Apex,net.sourceforge.pmd.lang.apex.rule.performance,AvoidDmlStatementsInLoopsRule,50,57,10,12,15,14,10,9,5,3
PMD Apex,net.sourceforge.pmd.lang.apex.rule.apexunit,ApexUnitTestClassShouldHaveAsserts,0,96,0,10,0,25,0,9,0,4
PMD Apex,net.sourceforge.pmd.lang.apex.rule.apexunit,ApexUnitTestShouldNotUseSeeAllDataTrue,6,87,6,12,2,19,5,8,0,4
