GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMD Core,net.sourceforge.pmd.benchmark,Benchmark,9,195,0,0,0,20,2,2,2,2
PMD Core,net.sourceforge.pmd.benchmark,StringBuilderCR,55,0,2,0,12,0,5,0,4,0
PMD Core,net.sourceforge.pmd.benchmark,TextReport.new Object() {...},33,0,0,0,1,0,1,0,1,0
PMD Core,net.sourceforge.pmd.benchmark,Benchmarker,377,49,34,10,78,14,26,7,8,3
PMD Core,net.sourceforge.pmd.benchmark,TextReport,515,0,27,0,82,0,20,0,5,0
PMD Core,net.sourceforge.pmd.benchmark,BenchmarkResult,50,22,6,0,11,7,7,2,4,2
PMD Core,net.sourceforge.pmd.benchmark,RuleDuration,33,0,4,0,9,0,4,0,2,0
PMD Core,net.sourceforge.pmd.dcd.graph,UsageGraphBuilder.MyClassVisitor,81,0,0,0,25,0,12,0,12,0
PMD Core,net.sourceforge.pmd.dcd.graph,MemberNode,212,0,38,0,50,0,34,0,15,0
PMD Core,net.sourceforge.pmd.dcd.graph,ClassNode,223,0,30,0,48,0,28,0,13,0
PMD Core,net.sourceforge.pmd.dcd.graph,MethodNode,112,0,14,0,24,0,12,0,5,0
PMD Core,net.sourceforge.pmd.dcd.graph,MemberNodeComparator,46,0,12,0,16,0,9,0,3,0
PMD Core,net.sourceforge.pmd.dcd.graph,UsageGraphBuilder,150,0,10,0,30,0,14,0,9,0
PMD Core,net.sourceforge.pmd.dcd.graph,NodeVisitorAdapter,127,0,10,0,28,0,18,0,13,0
PMD Core,net.sourceforge.pmd.dcd.graph,ConstructorNode,140,0,18,0,31,0,17,0,8,0
PMD Core,net.sourceforge.pmd.dcd.graph,UsageGraphBuilder.MyMethodVisitor,74,0,0,0,37,0,27,0,27,0
PMD Core,net.sourceforge.pmd.dcd.graph,UsageGraph,197,0,22,0,43,0,22,0,11,0
PMD Core,net.sourceforge.pmd.dcd.graph,ClassNodeComparator,46,0,8,0,10,0,7,0,3,0
PMD Core,net.sourceforge.pmd.dcd.graph,FieldNode,57,0,6,0,14,0,8,0,5,0
PMD Core,net.sourceforge.pmd.renderers,CodeClimateIssue.Location,0,21,0,0,0,6,0,1,0,1
PMD Core,net.sourceforge.pmd.renderers,TextColorRenderer,114,476,11,23,17,68,12,14,2,7
PMD Core,net.sourceforge.pmd.renderers,CodeClimateIssue,0,6,0,0,0,3,0,1,0,1
PMD Core,net.sourceforge.pmd.renderers,CodeClimateIssue.Location.Lines,0,6,0,0,0,1,0,1,0,1
PMD Core,net.sourceforge.pmd.renderers,YAHTMLRenderer,6,62,2,2,1,9,3,3,1,3
PMD Core,net.sourceforge.pmd.renderers,CodeClimateRenderer,109,348,16,13,19,60,14,12,1,10
PMD Core,net.sourceforge.pmd.renderers,TextPadRenderer,2,63,0,2,1,14,1,3,1,2
PMD Core,net.sourceforge.pmd.renderers,CSVWriter,1,150,1,7,1,31,1,8,0,5
PMD Core,net.sourceforge.pmd.renderers,XSLTRenderer,62,143,11,5,19,43,9,7,1,7
PMD Core,net.sourceforge.pmd.renderers,SummaryHTMLRenderer,2,173,0,2,1,29,1,4,1,3
PMD Core,net.sourceforge.pmd.renderers,ColumnDescriptor,0,12,0,0,0,5,0,1,0,1
PMD Core,net.sourceforge.pmd.renderers,IDEAJRenderer,102,118,3,3,17,25,6,5,4,4
PMD Core,net.sourceforge.pmd.renderers,XMLRenderer,97,364,8,16,19,77,8,14,2,8
PMD Core,net.sourceforge.pmd.renderers,EmacsRenderer,2,55,0,2,1,14,1,4,1,3
PMD Core,net.sourceforge.pmd.renderers,CodeClimateIssue.Content,0,9,0,0,0,3,0,1,0,1
PMD Core,net.sourceforge.pmd.renderers,AbstractAccumulatingRenderer,1,16,0,0,1,6,1,3,1,3
PMD Core,net.sourceforge.pmd.renderers,TextRenderer,44,104,3,7,8,25,3,7,1,4
PMD Core,net.sourceforge.pmd.renderers,CodeClimateRenderer.new Object() {...},5,35,0,0,0,1,0,1,0,1
PMD Core,net.sourceforge.pmd.renderers,AbstractRenderer,44,42,0,0,12,17,4,8,4,8
PMD Core,net.sourceforge.pmd.renderers,CSVRenderer,10,240,3,9,2,30,4,12,2,8
PMD Core,net.sourceforge.pmd.renderers,CodeClimateRule,0,104,0,0,0,3,0,1,0,1
PMD Core,net.sourceforge.pmd.renderers,CSVRenderer.new ColumnDescriptor.Accessor() {...},0,7,0,0,0,2,0,2,0,2
PMD Core,net.sourceforge.pmd.renderers,CSVRenderer.new ColumnDescriptor.Accessor() {...},0,7,0,0,0,2,0,2,0,2
PMD Core,net.sourceforge.pmd.renderers,IDEAJRenderer.SourcePath,59,0,6,0,10,0,5,0,2,0
PMD Core,net.sourceforge.pmd.renderers,HTMLRenderer,32,658,9,29,3,108,10,20,1,10
PMD Core,net.sourceforge.pmd.renderers,VBHTMLRenderer,15,259,5,17,5,53,6,12,1,6
PMD Core,net.sourceforge.pmd.renderers,RendererFactory,148,171,13,11,26,40,11,6,1,4
PMD Core,net.sourceforge.pmd.renderers,AbstractIncrementingRenderer,1,52,0,6,1,15,1,7,1,4
PMD Core,net.sourceforge.pmd.renderers,CSVRenderer.new ColumnDescriptor.Accessor() {...},0,6,0,0,0,2,0,2,0,2
PMD Core,net.sourceforge.pmd.renderers,CSVRenderer.new ColumnDescriptor.Accessor() {...},0,9,0,0,0,2,0,2,0,2
PMD Core,net.sourceforge.pmd.renderers,CSVRenderer.new ColumnDescriptor.Accessor() {...},0,7,0,0,0,2,0,2,0,2
PMD Core,net.sourceforge.pmd.renderers,CSVRenderer.new ColumnDescriptor.Accessor() {...},0,9,0,0,0,2,0,2,0,2
PMD Core,net.sourceforge.pmd.renderers,CSVRenderer.new ColumnDescriptor.Accessor() {...},0,6,0,0,0,2,0,2,0,2
PMD Core,net.sourceforge.pmd.renderers,CSVRenderer.new ColumnDescriptor.Accessor() {...},0,6,0,0,0,2,0,2,0,2
PMD Core,net.sourceforge.pmd,RulesetsFactoryUtils,87,35,4,2,18,10,5,4,2,4
PMD Core,net.sourceforge.pmd,PMD,721,150,49,9,145,45,40,8,11,8
PMD Core,net.sourceforge.pmd,RuleChain,42,74,3,7,5,21,3,7,0,5
PMD Core,net.sourceforge.pmd,RuleSetWriter,376,399,47,25,80,101,38,19,8,13
PMD Core,net.sourceforge.pmd,RuleViolationComparator,4,74,2,14,2,20,2,10,0,4
PMD Core,net.sourceforge.pmd,Rule,0,17,0,0,0,2,0,1,0,1
PMD Core,net.sourceforge.pmd,PMD.new Comparator() {...},27,0,0,0,4,0,2,0,2,0
