GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMD Velocity,net.sourceforge.pmd.lang.vm.rule,AbstractStatisticalVmRule,0,25,0,0,0,8,0,4,0,4
PMD Velocity,net.sourceforge.pmd.lang.vm.rule,VmRuleChainVisitor.new VmParserVisitorAdapter() {...},0,15,0,0,0,3,0,2,0,2
PMD Velocity,net.sourceforge.pmd.lang.vm.rule,AbstractVmRule,116,133,0,2,24,31,24,24,24,23
PMD Velocity,net.sourceforge.pmd.lang.vm.rule,VmRuleViolationFactory,15,17,0,0,3,4,1,3,1,3
PMD Velocity,net.sourceforge.pmd.lang.vm.rule,VmRuleChainVisitor,8,34,1,3,1,8,1,4,0,3
PMD Velocity,net.sourceforge.pmd.lang.vm.util,VelocityCharStream,641,329,37,19,106,72,33,20,11,13
PMD Velocity,net.sourceforge.pmd.lang.vm.util,DirectiveMapper,3,98,0,2,1,17,1,4,1,3
PMD Velocity,net.sourceforge.pmd.lang.vm.util,LogUtil,44,0,4,0,6,0,6,0,4,0
PMD Velocity,net.sourceforge.pmd.lang.vm.rule.basic,NoInlineJavaScriptRule,0,37,0,4,0,10,0,4,0,2
PMD Velocity,net.sourceforge.pmd.lang.vm.rule.basic,AvoidReassigningParametersRule,0,73,3,7,0,14,3,4,0,2
PMD Velocity,net.sourceforge.pmd.lang.vm.rule.basic,EmptyIfStmtRule,0,65,2,6,0,13,2,7,0,5
PMD Velocity,net.sourceforge.pmd.lang.vm.rule.basic,CollapsibleIfStatementsRule,13,113,7,25,4,28,5,16,0,5
PMD Velocity,net.sourceforge.pmd.lang.vm.rule.basic,UnusedMacroParameterRule,0,220,2,18,0,32,2,13,0,5
PMD Velocity,net.sourceforge.pmd.lang.vm.rule.basic,AvoidDeeplyNestedIfStmtsRule,0,73,0,2,0,15,0,7,0,6
