GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMD Java,net.sourceforge.pmd.lang.java.rule.comments,CommentContentRule,50,240,9,19,8,48,8,16,1,9
PMD Java,net.sourceforge.pmd.lang.java.rule.comments,CommentRequiredRule,70,546,26,54,5,78,20,34,0,14
PMD Java,net.sourceforge.pmd.lang.java.rule.comments,CommentDefaultAccessModifierRule,13,225,4,28,7,36,6,20,2,8
PMD Java,net.sourceforge.pmd.lang.java.rule.comments,AbstractCommentRule,46,420,12,66,12,87,11,40,1,11
PMD Java,net.sourceforge.pmd.lang.java.rule.comments,HeaderCommentsRule,64,0,0,0,11,0,3,0,3,0
PMD Java,net.sourceforge.pmd.lang.java.rule.comments,HeaderCommentsRule.RequiredHeaderPlacement,95,0,2,0,13,0,6,0,5,0
PMD Java,net.sourceforge.pmd.lang.java.rule.comments,CodeInCommentsRule,3,0,0,0,1,0,1,0,1,0
PMD Java,net.sourceforge.pmd.lang.java.rule.comments,CommentRequiredRule.CommentRequirement,5,79,0,2,0,10,1,5,1,4
PMD Java,net.sourceforge.pmd.lang.java.rule.comments,CommentSizeRule,2,257,1,25,1,40,1,19,0,7
PMD Java,net.sourceforge.pmd.lang.java.rule.comments,JavadocRule,3,0,0,0,1,0,1,0,1,0
PMD Java,net.sourceforge.pmd.lang.java.rule.logging,GuardLogStatementJavaUtilRule,0,195,2,20,0,35,2,16,0,7
PMD Java,net.sourceforge.pmd.lang.java.rule.logging,GuardLogStatementRule,28,235,2,20,5,48,2,17,0,8
PMD Java,net.sourceforge.pmd.lang.java.rule.logging,GuardDebugLoggingRule,0,16,0,0,0,5,0,2,0,2
PMD Java,net.sourceforge.pmd.lang.java.rule.logging,MoreThanOneLoggerRule,15,137,3,19,7,33,3,15,0,7
PMD Java,net.sourceforge.pmd.lang.java.xpath,TypeOfFunction,19,136,8,24,5,33,8,12,0,4
PMD Java,net.sourceforge.pmd.lang.java.xpath,GetCommentOnFunction,53,12,10,0,12,3,6,2,1,2
PMD Java,net.sourceforge.pmd.lang.java.xpath,JavaFunctions,19,0,0,0,4,0,3,0,3,0
PMD Java,net.sourceforge.pmd.lang.java.rule.naming,VariableNamingConventionsRule,9,599,9,53,2,102,9,36,0,14
PMD Java,net.sourceforge.pmd.lang.java.rule.naming,AvoidDollarSignsRule,0,54,0,6,0,13,0,7,0,4
PMD Java,net.sourceforge.pmd.lang.java.rule.naming,ClassNamingConventionsRule,0,15,0,2,0,4,0,3,0,2
PMD Java,net.sourceforge.pmd.lang.java.rule.naming,MethodWithSameNameAsEnclosingClassRule,0,32,0,4,0,7,0,4,0,2
PMD Java,net.sourceforge.pmd.lang.java.rule.naming,SuspiciousHashcodeMethodNameRule,0,55,4,8,0,10,4,4,0,2
PMD Java,net.sourceforge.pmd.lang.java.rule.naming,AvoidFieldNameMatchingMethodNameRule,1,94,1,13,1,21,1,9,0,3
PMD Java,net.sourceforge.pmd.lang.java.rule.naming,AvoidFieldNameMatchingTypeNameRule,0,32,0,6,0,8,0,6,0,3
PMD Java,net.sourceforge.pmd.lang.java.rule.naming,MethodNamingConventionsRule,0,104,2,14,0,24,2,11,0,5
PMD Java,net.sourceforge.pmd.lang.java.dfa,DataFlowFacade,0,40,0,0,0,11,0,4,0,4
PMD Java,net.sourceforge.pmd.lang.java.dfa,JavaDataFlowNode,41,5,6,0,5,2,4,1,1,1
