GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript,EcmascriptLanguageModule,0,20,0,0,0,3,0,1,0,1
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript,EcmascriptParserOptions,12,225,3,17,5,30,5,16,2,9
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript,Ecmascript3Parser,4,20,0,0,2,5,2,3,2,3
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript,Ecmascript3Handler,8,19,0,0,1,5,1,5,1,5
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript,EcmascriptParserOptions.Version,5,145,0,0,0,17,1,5,1,5
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript,Ecmascript3Handler.new AbstractASTXPathHandler() {...},1,7,0,0,1,2,1,2,1,2
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript,Ecmascript3Handler.new VisitorStarter() {...},28,0,0,0,3,0,2,0,2,0
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,ASTBreakStatement,18,15,3,1,2,4,4,2,2,2
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,ASTCatchClause,27,9,2,0,4,3,5,2,4,2
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,DumpFacade,485,0,116,0,114,0,62,0,4,0
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,EcmascriptParser,6,149,0,8,2,36,0,8,0,4
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,EcmascriptTreeBuilder,44,386,3,21,11,104,3,18,0,9
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,AbstractEcmascriptNode,16,76,1,5,4,18,4,7,3,5
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,ASTBlock,0,9,0,0,0,3,0,2,0,2
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,ASTNumberLiteral,3,18,0,0,1,5,1,3,1,3
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,ASTXmlString,13,0,0,0,4,0,2,0,2,0
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,ASTLetNode,36,0,4,0,8,0,7,0,5,0
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,ASTAssignment,0,9,0,0,0,3,0,2,0,2
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,ASTThrowStatement,0,9,0,0,0,3,0,2,0,2
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,ASTWhileLoop,10,9,0,0,2,3,2,2,2,2
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,ASTXmlExpression,19,0,0,0,5,0,4,0,4,0
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,ASTDoLoop,10,9,0,0,2,3,2,2,2,2
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,ASTComment,5,9,0,0,1,3,1,2,1,2
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,ASTNewExpression,42,9,4,0,6,3,8,2,6,2
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,ASTElementGet,4,26,2,2,2,7,2,4,0,4
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,ASTXmlDotQuery,9,0,0,0,3,0,2,0,2,0
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,ASTObjectProperty,10,9,0,0,2,3,2,2,2,2
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,ASTStringLiteral,21,13,4,0,3,4,5,2,3,2
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,ASTVariableDeclaration,20,15,0,0,4,4,4,2,4,2
PMD JavaScript,net.sourceforge.pmd.lang.ecmascript.ast,ASTArrayLiteral,5,16,0,0,1,6,1,4,1,4
