GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMD Scala,org.sonar.plugins.scala.cpd,ScalaTokenizer,21,51,0,4,3,12,0,4,0,2
PMD Scala,net.sourceforge.pmd.lang.scala,ScalaLanguageModule,0,18,0,0,0,3,0,1,0,1
PMD Scala,net.sourceforge.pmd.cpd,ScalaLanguage,14,0,0,0,2,0,1,0,1,0
PMD Scala,org.sonar.plugins.scala.language,CodeDetector,4,0,0,0,0,0,1,0,1,0
PMD Scala,org.sonar.plugins.scala.language,CodeDetector..anonfun.org.sonar.plugins.scala.language.CodeDetector..lookingForSyntaxTreesWithCode.1.new Serializable() {...},7,0,0,0,1,0,2,0,2,0
PMD Scala,org.sonar.plugins.scala.language,CodeDetector.,152,0,28,0,19,0,20,0,6,0
PMD Scala,org.sonar.plugins.scala.language,CodeDetector..anonfun.org.sonar.plugins.scala.language.CodeDetector..lookingForSyntaxTreesWithCode.1.new Serializable() {...},7,0,0,0,1,0,2,0,2,0
PMD Scala,org.sonar.plugins.scala.language,Comment,197,0,30,0,35,0,24,0,9,0
PMD Scala,org.sonar.plugins.scala.language,CommentType,48,0,0,0,4,0,4,0,4,0
PMD Scala,org.sonar.plugins.scala.util,StringUtils,39,0,2,0,11,0,3,0,2,0
PMD Scala,org.sonar.plugins.scala.compiler,Token,135,23,24,0,0,1,27,4,14,4
PMD Scala,org.sonar.plugins.scala.compiler,Token.,38,0,2,0,1,0,7,0,6,0
PMD Scala,org.sonar.plugins.scala.compiler,Parser..anon.new Parsers.UnitParser() {...},7,0,0,0,2,0,2,0,2,0
PMD Scala,org.sonar.plugins.scala.compiler,Compiler,3789,0,0,0,0,0,958,0,958,0
PMD Scala,org.sonar.plugins.scala.compiler,Lexer,74,74,2,4,12,13,5,5,4,3
PMD Scala,org.sonar.plugins.scala.compiler,Parser,86,0,0,0,12,0,4,0,4,0
PMD Scala,org.sonar.plugins.scala.compiler,Compiler.,0,13,0,0,0,2,0,3,0,3
PMD Scala,org.sonar.plugins.scala.compiler,Lexer..anon.new Scanners.UnitScanner() {...},170,0,24,0,19,0,21,0,9,0
