GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMD PL/SQL,net.sourceforge.pmd.lang.plsql,PLSQLHandler.new VisitorStarter() {...},28,0,0,0,3,0,2,0,2,0
PMD PL/SQL,net.sourceforge.pmd.lang.plsql,PLSQLHandler.new XPathHandler() {...},0,12,0,0,0,4,0,4,0,4
PMD PL/SQL,net.sourceforge.pmd.lang.plsql,PLSQLHandler.new VisitorStarter() {...},16,0,0,0,3,0,2,0,2,0
PMD PL/SQL,net.sourceforge.pmd.lang.plsql,PLSQLHandler.new VisitorStarter() {...},13,0,0,0,3,0,2,0,2,0
PMD PL/SQL,net.sourceforge.pmd.lang.plsql,PLSQLDataFlowHandler,2,9,0,0,1,2,1,2,1,2
PMD PL/SQL,net.sourceforge.pmd.lang.plsql,PLSQLTokenManager,19,0,0,0,6,0,3,0,3,0
PMD PL/SQL,net.sourceforge.pmd.lang.plsql,PLSQLHandler,22,19,0,0,4,5,4,5,4,5
PMD PL/SQL,net.sourceforge.pmd.lang.plsql,PLSQLLanguageModule,0,80,0,0,0,3,0,1,0,1
PMD PL/SQL,net.sourceforge.pmd.lang.plsql,PLSQLParser,8,25,0,0,2,8,2,4,2,4
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.rule,AbstractStatisticalPLSQLRule,0,25,0,0,0,8,0,4,0,4
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.rule,PLSQLRuleChainVisitor,82,41,4,2,12,9,3,4,1,3
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.rule,AbstractPLSQLRule,506,342,12,2,107,75,94,60,88,59
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.rule,PLSQLRuleViolationFactory,14,16,0,0,3,4,1,3,1,3
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.rule,PLSQLRuleChainVisitor.new PLSQLParserVisitorAdapter() {...},0,15,0,0,0,3,0,2,0,2
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.rule.codesize,CyclomaticComplexityRule,675,240,62,2,118,55,42,9,10,9
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.rule.codesize,ExcessivePackageBodyLengthRule,0,9,0,0,0,3,0,1,0,1
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.rule.codesize,NPathComplexityRule,600,417,32,24,102,78,28,21,9,12
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.rule.codesize,NcssMethodCountRule,5,26,0,0,1,4,1,2,1,2
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.rule.codesize,ExcessivePackageSpecificationLengthRule,0,9,0,0,0,3,0,1,0,1
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.rule.codesize,ExcessiveParameterListRule,0,11,0,0,0,4,0,2,0,2
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.rule.codesize,NcssObjectCountRule,77,71,7,5,17,15,7,5,2,4
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.rule.codesize,ExcessiveTypeLengthRule,0,9,0,0,0,3,0,1,0,1
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.rule.codesize,CyclomaticComplexityRule.Entry,18,23,2,0,1,8,2,3,1,3
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.rule.codesize,AbstractNcssCountRule,190,88,9,9,32,23,24,6,17,4
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.rule.codesize,TooManyFieldsRule,59,133,7,7,12,26,5,8,1,5
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.rule.codesize,ExcessiveObjectLengthRule,0,9,0,0,0,3,0,1,0,1
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.rule.codesize,ExcessiveMethodLengthRule,0,9,0,0,0,3,0,1,0,1
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.ast,ASTCompilationDataType,14,0,0,0,5,0,3,0,3,0
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.ast,ASTBlock,4,10,0,0,2,3,1,2,1,2
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.ast,ASTRead2NextOccurrence,14,0,0,0,5,0,3,0,3,0
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.ast,PLSQLParserTokenManager,3368,14453,627,1181,685,1627,503,679,8,38
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.ast,ASTFieldDeclaration,14,0,0,0,5,0,3,0,3,0
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.ast,ASTAttribute,14,0,0,0,5,0,3,0,3,0
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.ast,ASTForStatement,4,10,0,0,2,3,1,2,1,2
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.ast,ASTPragma,9,5,0,0,3,2,2,1,2,1
PMD PL/SQL,net.sourceforge.pmd.lang.plsql.ast,ASTRaiseStatement,14,0,0,0,5,0,3,0,3,0
