GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMD XML and XSL,net.sourceforge.pmd.lang.xml,XmlHandler,8,19,0,0,1,5,1,5,1,5
PMD XML and XSL,net.sourceforge.pmd.lang.xml,XmlParserOptions.new EntityResolver() {...},0,12,0,0,0,2,0,2,0,2
PMD XML and XSL,net.sourceforge.pmd.lang.xml,XmlParserOptions,7,384,3,35,3,69,4,37,1,21
PMD XML and XSL,net.sourceforge.pmd.lang.xml,XmlParser,4,17,0,0,2,4,2,3,2,3
PMD XML and XSL,net.sourceforge.pmd.lang.xml,XmlLanguageModule,0,20,0,0,0,3,0,1,0,1
PMD XML and XSL,net.sourceforge.pmd.lang.xml,XmlHandler.new VisitorStarter() {...},28,0,0,0,3,0,2,0,2,0
PMD XML and XSL,net.sourceforge.pmd.lang.xml,XmlHandler.new XPathHandler() {...},1,11,0,0,1,3,1,3,1,3
PMD XML and XSL,net.sourceforge.pmd.lang.wsdl,WsdlLanguageModule,0,20,0,0,0,3,0,1,0,1
PMD XML and XSL,net.sourceforge.pmd.lang.wsdl.rule,AbstractWsdlRule,0,5,0,0,0,2,0,1,0,1
PMD XML and XSL,net.sourceforge.pmd.lang.pom,PomLanguageModule,0,20,0,0,0,3,0,1,0,1
PMD XML and XSL,net.sourceforge.pmd.lang.xml.ast,DumpFacade,156,0,16,0,36,0,12,0,4,0
PMD XML and XSL,net.sourceforge.pmd.lang.xml.ast,XmlNodeInvocationHandler,56,248,10,40,10,49,7,21,0,3
PMD XML and XSL,net.sourceforge.pmd.lang.xml.ast,DOMLineNumbers,25,461,6,44,3,84,6,25,0,6
PMD XML and XSL,net.sourceforge.pmd.lang.xml.ast,XmlNodeInvocationHandler.new Iterator() {...},4,48,0,4,1,4,1,5,1,3
PMD XML and XSL,net.sourceforge.pmd.lang.xml.ast,XmlParser,18,167,0,6,6,39,0,8,0,5
PMD XML and XSL,net.sourceforge.pmd.lang.xml.rule,XmlRuleViolationFactory,2,17,0,0,1,4,1,3,1,3
PMD XML and XSL,net.sourceforge.pmd.lang.xml.rule,XmlRuleChainVisitor,0,49,0,6,0,14,0,6,0,3
PMD XML and XSL,net.sourceforge.pmd.lang.xml.rule,AbstractDomXmlRule,41,140,3,12,9,45,5,22,2,13
PMD XML and XSL,net.sourceforge.pmd.lang.xml.rule,XmlXPathRule,48,0,0,0,18,0,3,0,3,0
PMD XML and XSL,net.sourceforge.pmd.lang.xml.rule,AbstractXmlRule,0,102,0,4,0,36,0,10,0,8
PMD XML and XSL,net.sourceforge.pmd.lang.xsl,XslLanguageModule,0,24,0,0,0,3,0,1,0,1
