GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMD JSP,net.sourceforge.pmd.lang.jsp,JspHandler.new AbstractASTXPathHandler() {...},1,7,0,0,1,2,1,2,1,2
PMD JSP,net.sourceforge.pmd.lang.jsp,JspHandler.new VisitorStarter() {...},28,0,0,0,3,0,2,0,2,0
PMD JSP,net.sourceforge.pmd.lang.jsp,JspLanguageModule,0,20,0,0,0,3,0,1,0,1
PMD JSP,net.sourceforge.pmd.lang.jsp,JspParser,7,19,0,0,2,5,2,3,2,3
PMD JSP,net.sourceforge.pmd.lang.jsp,JspHandler,8,15,0,0,1,4,1,4,1,4
PMD JSP,net.sourceforge.pmd.lang.jsp,JspTokenManager,19,0,0,0,6,0,3,0,3,0
PMD JSP,net.sourceforge.pmd.lang.jsp.rule.basic,DuplicateJspImportsRule,0,77,0,6,0,17,0,6,0,3
PMD JSP,net.sourceforge.pmd.lang.jsp.rule.basic,NoUnsanitizedJSPExpressionRule,0,55,2,14,0,8,2,9,0,3
PMD JSP,net.sourceforge.pmd.lang.jsp.rule.basic,NoInlineStyleInformationRule,0,164,2,8,0,17,2,9,0,6
PMD JSP,net.sourceforge.pmd.lang.jsp.rule,JspRuleChainVisitor,8,34,1,3,1,8,1,4,0,3
PMD JSP,net.sourceforge.pmd.lang.jsp.rule,JspRuleViolationFactory,2,17,0,0,1,4,1,3,1,3
PMD JSP,net.sourceforge.pmd.lang.jsp.rule,JspRuleChainVisitor.new JspParserVisitorAdapter() {...},0,15,0,0,0,3,0,2,0,2
PMD JSP,net.sourceforge.pmd.lang.jsp.rule,AbstractJspRule,66,83,0,2,14,21,14,14,14,13
PMD JSP,net.sourceforge.pmd.cpd,JSPLanguage,18,0,0,0,2,0,1,0,1,0
PMD JSP,net.sourceforge.pmd.cpd,JSPTokenizer,68,0,2,0,15,0,3,0,2,0
PMD JSP,net.sourceforge.pmd.lang.jsp.ast,JJTJspParserState,116,112,6,4,25,29,10,7,6,6
PMD JSP,net.sourceforge.pmd.lang.jsp.ast,ASTJspDeclaration,9,5,0,0,3,2,2,1,2,1
PMD JSP,net.sourceforge.pmd.lang.jsp.ast,ASTJspExpressionInAttribute,9,5,0,0,3,2,2,1,2,1
PMD JSP,net.sourceforge.pmd.lang.jsp.ast,ASTJspDirective,4,17,0,0,2,6,1,4,1,4
PMD JSP,net.sourceforge.pmd.lang.jsp.ast,ASTAttribute,8,54,3,3,2,11,4,7,1,7
PMD JSP,net.sourceforge.pmd.lang.jsp.ast,JspParser,2041,3094,363,249,346,680,264,152,17,80
PMD JSP,net.sourceforge.pmd.lang.jsp.ast,JspParser.LookaheadSuccess,0,3,0,0,0,1,0,1,0,1
PMD JSP,net.sourceforge.pmd.lang.jsp.ast,ASTDoctypeDeclaration,9,12,0,0,3,5,2,3,2,3
PMD JSP,net.sourceforge.pmd.lang.jsp.ast,ASTJspDeclarations,14,0,0,0,5,0,3,0,3,0
PMD JSP,net.sourceforge.pmd.lang.jsp.ast,ASTElExpression,4,10,0,0,2,3,1,2,1,2
PMD JSP,net.sourceforge.pmd.lang.jsp.ast,JspParser.JJCalls,0,3,0,0,0,1,0,1,0,1
PMD JSP,net.sourceforge.pmd.lang.jsp.ast,ASTContent,4,10,0,0,2,3,1,2,1,2
PMD JSP,net.sourceforge.pmd.lang.jsp.ast,ASTJspDirectiveAttribute,4,24,0,0,2,9,1,6,1,6
PMD JSP,net.sourceforge.pmd.lang.jsp.ast,JspParserTreeConstants,0,96,0,0,0,1,0,1,0,1
PMD JSP,net.sourceforge.pmd.lang.jsp.ast,ParseException,371,0,32,0,66,0,25,0,5,0
PMD JSP,net.sourceforge.pmd.lang.jsp.ast,ASTText,4,10,0,0,2,3,1,2,1,2
PMD JSP,net.sourceforge.pmd.lang.jsp.ast,ASTJspDocument,14,0,0,0,5,0,3,0,3,0
